id,"geom",label,"anoList"
1402142212620000288,"LINESTRING (-8.585892 41.14863, -8.585874 41.148657, -8.58582 41.148666, -8.585838 41.148918, -8.586738 41.148981, -8.587881 41.149296, -8.5896 41.149818, -8.591886 41.150448, -8.593443 41.150853, -8.593461 41.150871, -8.593515 41.150943, -8.593551 41.150952, -8.594496 41.1507, -8.596296 41.149692, -8.597331 41.14899, -8.598501 41.14836, -8.599914 41.148612, -8.600211 41.148621, -8.600202 41.148594, -8.601192 41.148801, -8.602866 41.149089, -8.604765 41.149476, -8.605431 41.149836, -8.605458 41.149782, -8.605449 41.149728, -8.605881 41.149809, -8.606412 41.149818, -8.606988 41.148747, -8.606781 41.148558, -8.606439 41.148459, -8.606385 41.148297, -8.605656 41.14827, -8.604099 41.147901, -8.603946 41.147163, -8.603892 41.146866, -8.604153 41.146515, -8.604297 41.146326, -8.605485 41.145552, -8.606529 41.144922, -8.606619 41.144949, -8.607087 41.144823, -8.607357 41.145282, -8.607258 41.145498, -8.60697 41.145669, -8.606871 41.145786, -8.606934 41.145831, -8.606988 41.145822, -8.606889 41.145921, -8.606871 41.145948, -8.60697 41.145903, -8.607033 41.145876, -8.606925 41.145903)",1,"[92, 23, 32]"
1374587080620000678,"LINESTRING (-8.58564 41.148594, -8.585604 41.148549, -8.585586 41.14854, -8.58564 41.148657, -8.58564 41.148711, -8.58564 41.148828, -8.586054 41.148945, -8.58735 41.149161, -8.58852 41.149494, -8.59041 41.149998, -8.592066 41.150457, -8.593128 41.150709, -8.593101 41.150646, -8.593047 41.150538, -8.593794 41.150646, -8.594118 41.150439, -8.596044 41.149512, -8.597691 41.148405, -8.598762 41.148216, -8.602155 41.148972, -8.604054 41.149395, -8.605539 41.149872, -8.606583 41.150016, -8.606754 41.150016, -8.607231 41.150088, -8.608158 41.148738, -8.608653 41.147865, -8.608671 41.147649, -8.608698 41.147532, -8.609625 41.147586, -8.610498 41.147748, -8.611272 41.147739, -8.611452 41.146101, -8.611218 41.146056, -8.611209 41.146074, -8.610786 41.146056, -8.610786 41.145822, -8.610822 41.145858, -8.610795 41.14584, -8.610822 41.145687, -8.610786 41.144877, -8.610516 41.143896, -8.610426 41.143599, -8.609139 41.143239, -8.608158 41.142987, -8.605593 41.142681, -8.605008 41.143842, -8.60508 41.143905, -8.60517 41.144148, -8.606484 41.144598, -8.607024 41.144859, -8.607348 41.14539, -8.607339 41.145471, -8.607312 41.145543, -8.607249 41.145552)",1,"[92, 22, 31]"
1381236578620000010,"LINESTRING (-8.585613 41.148558, -8.585604 41.148549, -8.585712 41.148756, -8.585838 41.148954, -8.586567 41.148972, -8.587656 41.149251, -8.589105 41.149674, -8.591301 41.150259, -8.593389 41.15079, -8.593443 41.15079, -8.593434 41.150781, -8.593407 41.150781, -8.593398 41.150781, -8.594379 41.150736, -8.596197 41.149719, -8.598033 41.148495, -8.599635 41.148522, -8.600391 41.148693, -8.600418 41.148711, -8.601957 41.149053, -8.603766 41.149359, -8.605458 41.149737, -8.606025 41.149854, -8.606034 41.149854, -8.606565 41.149944, -8.60679 41.150007, -8.606799 41.150016, -8.606844 41.150025, -8.607528 41.149494, -8.608212 41.148216, -8.608482 41.147784, -8.608491 41.147766, -8.608608 41.147577, -8.609184 41.14746, -8.609778 41.147613, -8.610264 41.14773, -8.611173 41.147847, -8.611443 41.146893, -8.611533 41.146272, -8.610984 41.146029, -8.610885 41.144958, -8.610435 41.143563, -8.60922 41.143203, -8.607681 41.14269, -8.605305 41.143104, -8.60508 41.144094, -8.606574 41.144634, -8.607105 41.144976, -8.607303 41.145264, -8.607312 41.145345, -8.607294 41.145354, -8.607312 41.145345, -8.60733 41.145336, -8.60733 41.145372, -8.607249 41.145723, -8.607258 41.145705, -8.607249 41.145687, -8.60724 41.145687, -8.607231 41.145678, -8.60724 41.145687)",1,"[22, 31, 101, 37]"
1398514318620000426,"LINESTRING (-8.58564 41.148603, -8.585676 41.148855, -8.586117 41.14899, -8.587305 41.149152, -8.588943 41.149602, -8.591265 41.150259, -8.593344 41.150781, -8.593335 41.150781, -8.593326 41.15079, -8.593308 41.15079, -8.594055 41.150898, -8.595513 41.150277, -8.597142 41.149593, -8.598231 41.148738, -8.600139 41.148729, -8.60058 41.148801, -8.601777 41.148981, -8.603406 41.149251, -8.604522 41.149467, -8.60535 41.149692, -8.605395 41.149665, -8.605566 41.149692, -8.606322 41.149818, -8.606367 41.149836, -8.606367 41.149863, -8.607024 41.149998, -8.607609 41.149125, -8.608203 41.148018, -8.608302 41.147919, -8.608383 41.147847, -8.608725 41.147649, -8.610228 41.14791, -8.610291 41.147874, -8.611209 41.147856, -8.611506 41.14647, -8.610912 41.146038, -8.610858 41.145984, -8.610858 41.145993, -8.61084 41.145876, -8.610858 41.14494, -8.61057 41.144058, -8.6103 41.143293, -8.609202 41.143248, -8.607015 41.142402, -8.605278 41.143248, -8.605395 41.144211, -8.60715 41.144976, -8.60733 41.14566, -8.607294 41.145705, -8.607213 41.145705, -8.607195 41.145678, -8.607195 41.145669, -8.60724 41.145687)",1,"[92, 22, 31, 101, 37, 39, 57, 70, 68, 74, 77, 130]"
1403085415620000327,"LINESTRING (-8.585694 41.148864, -8.585982 41.148936, -8.587521 41.149224, -8.589114 41.149656, -8.59113 41.150196, -8.593074 41.150727, -8.593866 41.150925, -8.594109 41.150835, -8.595558 41.149953, -8.597349 41.14881, -8.597745 41.148567, -8.59779 41.148594, -8.597988 41.148441, -8.599833 41.148558, -8.600184 41.14863, -8.601264 41.148828, -8.60301 41.149251, -8.604243 41.149593, -8.604684 41.149557, -8.605521 41.149737, -8.605539 41.149728, -8.606691 41.149944, -8.60715 41.150016, -8.607654 41.149125, -8.608041 41.148297, -8.608581 41.147685, -8.60877 41.147469, -8.60976 41.14764, -8.610237 41.147856, -8.611047 41.147397, -8.611407 41.146875, -8.611551 41.146281, -8.611551 41.146272, -8.611551 41.14611, -8.611092 41.145984, -8.611011 41.146047, -8.610876 41.145777, -8.610912 41.145579, -8.61093 41.145552, -8.61093 41.145516, -8.610912 41.14548, -8.610759 41.144418, -8.610489 41.143509, -8.608851 41.143095, -8.60616 41.142375, -8.605161 41.143374, -8.605188 41.143374, -8.605098 41.144112, -8.606358 41.144571, -8.60706 41.144868, -8.607114 41.144823, -8.607159 41.144805, -8.607222 41.144922, -8.607474 41.145435, -8.607249 41.14557, -8.607213 41.14557, -8.606934 41.145831, -8.606862 41.145795, -8.606826 41.145786, -8.606826 41.145786, -8.606817 41.145786, -8.606817 41.145795, -8.606925 41.145885)",1,"[92, 22, 31, 101, 37, 39, 120, 58, 57, 70, 68, 74, 77, 130]"
1373465339620000678,"LINESTRING (-8.585658 41.148441, -8.585667 41.148441, -8.585676 41.148423, -8.585667 41.148522, -8.585775 41.148882, -8.585982 41.148954, -8.586423 41.14899, -8.58726 41.14917, -8.588205 41.149431, -8.590167 41.149998, -8.591868 41.15052, -8.592723 41.150772, -8.593929 41.150988, -8.594136 41.150871, -8.594604 41.150727, -8.596368 41.149854, -8.599077 41.14827, -8.601516 41.148774, -8.602182 41.149026, -8.603856 41.149593, -8.605854 41.150061, -8.606826 41.150088, -8.606826 41.150079, -8.606835 41.150079, -8.606889 41.150097, -8.606889 41.150115, -8.607294 41.149926, -8.607924 41.148882, -8.608347 41.147973, -8.609022 41.14746, -8.61093 41.148135, -8.611434 41.147046, -8.611452 41.146866, -8.611542 41.146281, -8.611533 41.146254, -8.610786 41.145804, -8.610831 41.14539, -8.610606 41.143995, -8.60868 41.142924, -8.605269 41.143122, -8.605233 41.144157, -8.606385 41.144625, -8.606538 41.14467, -8.606583 41.144688, -8.606655 41.14467, -8.607204 41.145174, -8.607447 41.145525, -8.607456 41.145516, -8.607456 41.145516, -8.607456 41.145516, -8.607465 41.145534)",1,"[92, 22, 31, 101, 102]"
1400703173620000426,"LINESTRING (-8.585721 41.148756, -8.585811 41.148738, -8.585883 41.148882, -8.585946 41.149053, -8.58609 41.149044, -8.587611 41.149305, -8.589753 41.14989, -8.591922 41.150484, -8.593434 41.150844, -8.593416 41.150799, -8.593983 41.150907, -8.595702 41.150016, -8.597628 41.148756, -8.597853 41.148594, -8.597826 41.148603, -8.59806 41.148504, -8.599815 41.148432, -8.6004 41.148648, -8.601471 41.148891, -8.602875 41.149188, -8.604234 41.149431, -8.605728 41.149692, -8.606952 41.149953, -8.606979 41.149944, -8.606997 41.149944, -8.607312 41.149755, -8.60805 41.148639, -8.608599 41.147829, -8.609319 41.147685, -8.611074 41.147901, -8.611443 41.146875, -8.611551 41.146299, -8.611551 41.146254, -8.611236 41.146011, -8.610894 41.145435, -8.610471 41.143626, -8.609103 41.143257, -8.606799 41.142312, -8.605251 41.143212, -8.604954 41.143842, -8.605962 41.144229, -8.607042 41.144787, -8.607438 41.145462, -8.607204 41.145687, -8.607159 41.145678, -8.607132 41.145687, -8.607096 41.145687, -8.607132 41.145678, -8.607177 41.145669, -8.607195 41.145669, -8.607123 41.14566, -8.607024 41.14575, -8.607069 41.14584, -8.60706 41.145831, -8.607042 41.145822, -8.607042 41.145831, -8.607015 41.145813)",1,"[92, 22, 31, 101, 102, 38, 37, 39, 57, 70, 68, 74, 77, 130]"
1399149242620000308,"LINESTRING (-8.585649 41.148603, -8.585658 41.148585, -8.58573 41.148792, -8.586207 41.148963, -8.588322 41.14944, -8.590914 41.150142, -8.593326 41.150808, -8.593524 41.150835, -8.59365 41.150889, -8.594973 41.150322, -8.596791 41.149224, -8.597826 41.148459, -8.598681 41.148288, -8.600328 41.148585, -8.600751 41.148666, -8.601552 41.148864, -8.603343 41.149206, -8.605008 41.149593, -8.606421 41.149863, -8.607015 41.150043, -8.606997 41.150025, -8.607006 41.15016, -8.607006 41.150142, -8.60751 41.149458, -8.607843 41.148801, -8.607852 41.148783, -8.607762 41.148747, -8.607573 41.148729, -8.607546 41.148747, -8.607537 41.148783, -8.607537 41.148828, -8.606943 41.148792, -8.606601 41.148864, -8.605683 41.148549, -8.604513 41.148162, -8.603811 41.147469, -8.603892 41.147109, -8.603928 41.147073, -8.603982 41.146659, -8.604333 41.14647, -8.604684 41.146227, -8.605503 41.145588, -8.606502 41.145039, -8.606565 41.144985, -8.606646 41.144949, -8.60715 41.145111, -8.607411 41.145489, -8.607348 41.145822, -8.607123 41.145876, -8.607042 41.145849, -8.607006 41.145804, -8.607006 41.145804, -8.607015 41.145813, -8.606997 41.145786, -8.606934 41.146362)",1,"[92, 22, 30, 32]"
1379505377620000426,"LINESTRING (-8.585631 41.148441, -8.58564 41.148513, -8.585739 41.148837, -8.58582 41.148864, -8.585874 41.148873, -8.586207 41.148945, -8.587872 41.149305, -8.589591 41.149827, -8.591697 41.15043, -8.593263 41.150871, -8.593263 41.150808, -8.593272 41.150781, -8.593515 41.15088, -8.594496 41.150664, -8.595558 41.150052, -8.596665 41.149431, -8.596989 41.149251, -8.597349 41.148972, -8.597529 41.148882, -8.5977 41.148702, -8.597745 41.148747, -8.597763 41.148666, -8.598834 41.14827, -8.60004 41.148378, -8.600922 41.148513, -8.601669 41.148702, -8.603802 41.149107, -8.604729 41.149449, -8.606268 41.149881, -8.607159 41.150061, -8.607735 41.148972, -8.608104 41.148126, -8.608365 41.147685, -8.608374 41.147667, -8.608401 41.147694, -8.608698 41.147505, -8.609346 41.147352, -8.610543 41.147595, -8.610543 41.147568, -8.610534 41.147541, -8.610525 41.147541, -8.611443 41.147298, -8.611524 41.146794, -8.611605 41.146299, -8.611605 41.146227, -8.611524 41.146029, -8.611128 41.146119, -8.610957 41.145606, -8.610921 41.14557, -8.610894 41.145543, -8.610894 41.145507, -8.610894 41.145435, -8.61084 41.144553, -8.610435 41.143311, -8.609184 41.143221, -8.607429 41.142555, -8.605458 41.142879, -8.604999 41.143878, -8.606097 41.144418, -8.606538 41.14467, -8.607024 41.14485, -8.607411 41.145381, -8.607357 41.145678, -8.607285 41.145678, -8.607267 41.145687, -8.607276 41.145678)",1,"[74, 77, 130]"
1394197888620000542,"LINESTRING (-8.585649 41.14854, -8.585757 41.148972, -8.586495 41.149017, -8.586711 41.149053, -8.588079 41.149332, -8.588358 41.148756, -8.588736 41.147982, -8.588889 41.14773, -8.589132 41.14728, -8.590455 41.147073, -8.591625 41.146812, -8.592147 41.146767, -8.592273 41.146695, -8.592291 41.146668, -8.592687 41.146614, -8.594262 41.146371, -8.595432 41.146263, -8.59545 41.146119, -8.596404 41.146029, -8.597061 41.14602, -8.599455 41.145849, -8.601462 41.145714, -8.601525 41.145696, -8.601543 41.145678, -8.601651 41.145696, -8.603091 41.145597, -8.604144 41.145417, -8.604783 41.144418, -8.605458 41.143005, -8.607717 41.142753, -8.607987 41.142888, -8.607996 41.142816, -8.607996 41.142897, -8.609148 41.143284, -8.610291 41.143536, -8.610003 41.143887, -8.609616 41.144157, -8.609598 41.14431, -8.60931 41.144355, -8.60958 41.144868, -8.610264 41.145192, -8.61048 41.145246, -8.610471 41.145219, -8.610462 41.145183, -8.61048 41.145174, -8.610489 41.145156, -8.610498 41.145147, -8.610516 41.145147, -8.610543 41.145237, -8.610525 41.145237, -8.610507 41.145219, -8.610489 41.145183, -8.610768 41.145165, -8.610606 41.144031, -8.610399 41.143401, -8.61039 41.143392, -8.61039 41.143392, -8.60904 41.143212, -8.608599 41.143167, -8.607204 41.142447, -8.605377 41.143023, -8.605341 41.143284, -8.605179 41.143581, -8.605386 41.14413, -8.607042 41.144769, -8.607087 41.145057, -8.607393 41.145597, -8.607114 41.145705, -8.606925 41.14593, -8.606907 41.145894, -8.606835 41.145804)",1,"[73, 132, 131, 128, 70, 68, 74, 77, 130]"
