pid,tid,path
0,0,1857
0,15,1871
0,30,1872
0,45,1879
0,60,3766
0,75,3750
0,90,3744
0,105,3720
0,120,3722
0,135,3651
0,150,3623
0,165,3592
0,180,3581
0,195,3554
0,210,3537
0,225,3475
0,240,3426
0,255,3428
0,270,3402
0,285,3381
0,300,3382
0,315,3361
0,330,3322
0,345,3323
0,360,3325
0,375,3303
0,390,3210
0,405,3175
0,420,3177
0,435,3178
0,450,3115
0,465,3090
0,480,3032
0,495,2988
0,510,2990
0,525,2880
0,540,2688
0,555,2631
0,570,2630
0,585,2600
0,600,2601
0,615,2544
0,630,2506
0,645,2507
0,660,2438
0,675,2439
0,690,2440
0,705,2348
0,720,2347
0,735,2312
0,750,2313
0,765,2277
0,780,2275
0,795,2276
0,810,2246
0,825,2248
0,840,2209
0,855,2196
0,870,2171
0,885,2173
0,900,2152
0,915,2129
0,930,2075
0,945,2054
0,960,2024
0,975,2026
0,990,2004
0,1005,2003
0,1020,2001
0,1035,1999
0,1050,114
0,1065,136
0,1080,135
0,1095,237
0,1110,309
0,1125,2266
0,1140,381
0,1155,418
0,1170,2425
0,1185,2422
0,1200,2420
0,1215,535
0,1230,643
0,1245,833
0,1260,2765
0,1275,2764
0,1290,2735
0,1305,2716
0,1320,2714
0,1335,2712
0,1350,2710
0,1365,2672
0,1380,2670
0,1395,2613
0,1410,2611
0,1425,2579
0,1440,2578
0,1455,691
0,1470,724
0,1485,781
0,1500,811
0,1515,874
0,1530,918
0,1545,919
0,1560,1062
0,1575,1089
0,1590,1108
0,1605,1183
0,1620,1214
0,1635,1306
0,1650,1332
1,0,1857
1,15,1871
1,30,1872
1,45,1879
1,60,3766
1,75,3750
1,90,3744
1,105,3720
1,120,3722
1,135,3651
1,150,3623
1,165,3592
1,180,3581
1,195,3554
1,210,3537
1,225,3475
1,240,3426
1,255,3428
1,270,3402
1,285,3363
1,300,3326
1,315,1441
1,330,3304
1,345,3276
1,360,3254
1,375,3212
1,390,3182
1,405,3184
1,420,3141
1,435,3144
1,450,3092
1,465,3093
1,480,2986
1,495,2881
1,510,2688
1,525,2631
1,540,2630
1,555,2600
1,570,2601
1,585,2544
1,600,2506
1,615,2507
1,630,2438
1,645,2439
1,660,2440
1,675,2348
1,690,2347
1,705,2312
1,720,2313
1,735,2277
1,750,2275
1,765,2276
1,780,2246
1,795,2248
1,810,2209
1,825,2196
1,840,2171
1,855,2173
1,870,2152
