travel_id,link_id,distance,num,direct,density,density_num
0,1,88.82183663884697,1.0,260.42842884656886,23,2561.0
1,3,52.79090698812977,1.0,260.2588300476537,8,1021.0
2,6,140.96161878392945,1.0,173.02897915596623,16,2046.0
3,9,17.991972458857408,1.0,215.09801622430675,26,3072.0
4,11,61.58727464547856,1.0,226.93925705860164,27,3072.0
5,15,16.8117771732826,2.0,238.5725325202501,29,3585.0
6,18,242.5285269720333,507.0,258.6246812780826,5,512.0
7,19,51.63010121216566,2.0,89.55568927770543,27,3074.0
8,20,10.836085469930255,3.0,96.3396458748366,26,3072.0
9,21,169.4695547801731,1.0,165.01794787358324,27,3073.0
10,24,15.201971897998202,504.0,225.0023367124168,26,3072.0
11,25,37.99744391096712,3.0,85.78600912392517,29,3585.0
12,28,90.9029298496653,3.0,100.80704144669448,28,4095.0
13,29,3.0361041409912874,3.0,113.19691792395383,29,3585.0
14,30,56.67502686026704,3.0,85.1356526448792,18,3074.0
15,31,77.8426912662493,3.0,106.66957679560824,11,2057.0
16,32,207.5441629090317,507.0,262.7049997002161,13,1535.0
17,34,15.56224736976539,3.0,88.5312558233307,9,2052.0
18,36,204.6919966253734,3.0,119.99399234859692,12,3078.0
19,37,104.07991140262558,509.0,258.4313270577087,15,2565.0
20,38,62.10609924672585,3.0,95.56252508774368,16,2051.0
21,39,222.419694110807,1.0,227.8064020668413,17,2061.0
22,40,36.53146898893999,2.0,79.30418534755324,15,2048.0
23,41,238.35439311039056,1.0,175.9070542821512,19,2560.0
24,42,34.30462583816045,2.0,70.30270812521343,16,2046.0
25,44,100.36295399864083,5.0,86.79464904008006,11,2059.0
26,45,65.74484850706045,509.0,247.8115537116697,16,2577.0
27,47,2.8152271328865,509.0,225.0023022652647,14,2570.0
28,48,82.03017247459803,5.0,82.73701154052424,11,2059.0
29,50,23.57953857220012,3.0,120.46345969305946,10,2565.0
30,52,60.90802929878996,3.0,134.9975365237098,11,2566.0
31,54,108.93376421216772,5.0,83.26574098602941,9,1546.0
32,55,534.5861750241028,510.0,256.6274136332395,2,511.0
33,56,11.344792918362568,5.0,100.12383373621036,9,1542.0
34,60,36.97977319488325,3.0,148.18847848040264,13,2570.0
35,71,108.45732766529008,1.0,176.32916755952465,28,3074.0
36,75,148.60265252662754,3.0,120.7759885962888,19,3597.0
37,79,22.98532064787588,1.0,236.31212551538624,19,2575.0
38,85,109.8045990914701,1.0,208.87695144569005,14,2566.0
39,86,27.887322079905104,1.0,226.73807466274664,13,2061.0
40,89,24.967723240076623,1.0,210.6527306955844,19,2575.0
41,91,33.08297914220849,1.0,159.6035795441553,19,2575.0
42,92,28.72966858433629,508.0,256.350742734219,8,2046.0
43,93,74.96694395012939,4.0,79.96490453653507,6,1535.0
44,104,81.15686038576752,1.0,185.52922636127929,25,3068.0
45,108,87.83305071283797,3.0,107.44554727912094,20,2576.0
46,109,2.1410390470768306,3.0,158.19700492649304,21,3088.0
47,110,36.242382553717306,1.0,188.21987891867948,19,2575.0
48,113,30.68301458281926,1.0,65.43445430612394,17,3573.0
49,114,73.6921665600179,509.0,253.7538748778843,18,3580.0
50,115,68.2225819336664,1.0,97.41606187254024,14,3570.0
51,117,11.99446270300368,1.0,68.55378160093676,14,3570.0
52,118,85.97677729403655,1.0,107.84436676732167,15,3571.0
53,119,90.41393950111446,508.0,247.40155864930563,17,3059.0
54,120,56.49291780906043,3.0,75.27793850288288,12,3060.0
55,122,17.899437804201582,1.0,182.54501106841,16,2045.0
56,123,27.751041693965306,1.0,122.09043352593818,16,2045.0
57,127,42.421920795014046,1.0,194.68995464619485,21,3086.0
58,128,14.13331378104033,511.0,253.6117550599343,20,2576.0
59,129,43.46621550744249,3.0,113.2658830535322,19,2575.0
60,131,184.7949843875488,3.0,93.23403674343922,10,1032.0
61,132,195.4113322002567,3.0,97.2392330218579,3,1026.0
62,133,12.13134530510832,1.0,99.46153118339356,15,2561.0
63,134,131.02529655425317,512.0,249.58236810264145,16,2056.0
64,135,212.1703291452004,1.0,167.7237365062498,18,2564.0
65,136,26.310485601247365,509.0,255.96493637427147,16,3070.0
66,138,9.332111823354632,1.0,129.80328608507597,16,3572.0
67,140,30.23696101490373,1.0,147.35321129680975,15,3063.0
68,143,9.47987113092694,506.0,255.3802827824176,17,2550.0
69,144,11.107066052215172,1.0,111.03593287316932,16,2549.0
70,146,85.09546637377636,506.0,243.5571942007625,18,3052.0
71,147,112.55855789535876,1.0,179.9492605594785,12,2056.0
72,150,85.25767133939934,1.0,227.6567273707842,17,2048.0
73,155,288.81694066467736,1.0,173.07248787257333,8,8.0
74,158,82.7493787279253,1.0,198.4364272624736,19,2575.0
75,159,28.21616553441835,1.0,246.6968785015333,20,2576.0
76,168,143.74564237331322,1.0,132.54700174399534,14,2554.0
77,169,117.84322673602266,506.0,231.06923459778577,18,2041.0
78,171,37.69226045274258,1.0,156.9588533773965,18,2053.0
79,179,179.51666547984075,1.0,171.42174887245437,11,517.0
80,185,94.43228487412703,1.0,213.55725346172264,14,2568.0
81,189,151.37939060927255,1.0,129.1759185074219,9,1534.0
82,192,0.8892546700130964,506.0,206.56688829234773,16,2039.0
83,193,127.77065968657324,508.0,232.44169739047425,16,2178.0
84,200,125.03792554100843,1.0,171.20193665001614,10,2046.0
85,230,364.4496263631905,1.0,186.9395166536121,6,6.0
86,237,159.1515717215833,1.0,191.79792255448703,16,2054.0
87,243,108.0463694633686,1.0,129.45418835117,14,3067.0
88,244,75.2119944916459,1.0,233.2660495983229,11,2045.0
89,245,126.2236293835202,1.0,161.87970829485687,15,2177.0
90,246,162.664821803235,507.0,224.75287835706703,20,2094.0
91,255,65.83461866239185,1.0,234.8217890360097,14,2555.0
92,262,167.67494777576908,1.0,249.98147145009017,11,15.0
93,264,70.35113772991332,1.0,234.3109565010542,13,2553.0
94,266,85.61320222596872,1.0,127.58445742393695,13,3067.0
95,268,137.75788569225514,504.0,225.16435388123327,35,3282.0
96,269,133.9881777501382,3.0,259.61147383772953,35,3282.0
97,277,132.6231217311431,1.0,177.861089186782,12,17.0
98,281,13.565289186362628,1.0,130.23405480730412,8,8.0
99,284,85.42473754381828,1.0,236.25980508024173,12,2552.0
100,285,21.8029744048874,1.0,120.78205529809378,16,4092.0
101,287,0.8913566894181655,1.0,116.56321250348896,15,4090.0
102,290,57.35174298437064,3.0,198.30705046853905,43,4382.0
103,295,88.28831835838301,1.0,153.92268864156676,17,2179.0
104,303,158.66145309922507,1.0,171.32206228177665,14,20.0
105,304,168.80380602531005,1.0,163.99575708210614,7,7.0
106,309,142.93272798891346,1.0,199.6379315718007,8,519.0
107,310,63.76263331351696,1.0,126.79524599701016,18,4605.0
108,312,19.18601238456385,1.0,193.1735889100506,18,2249.0
109,321,207.99838803403475,1.0,250.9112074141918,3,3.0
110,323,83.10462422791744,1.0,133.25000716340003,22,5633.0
111,324,87.06102784309087,16.0,137.40656342722764,44,4452.0
112,325,14.620059666990592,8.0,115.86450375893368,42,4312.0
113,328,19.57312536615681,2.0,12.908390654318112,42,3695.0
114,329,51.52699747529662,504.0,224.0632431282487,49,4597.0
115,332,60.087515483275766,1.0,158.67199064176384,19,2250.0
116,343,194.69769234091189,1.0,186.1754617521981,15,40.0
117,359,87.21720457962853,1.0,215.2873832900313,9,520.0
118,360,63.35529793501965,2.0,117.36988643927606,19,5122.0
119,362,5.186246693482721,2.0,89.99997966196327,20,5122.0
120,363,50.607992087548254,3.0,151.20699253669395,33,3520.0
121,364,56.98583938677,494.0,231.5302513853885,44,4452.0
122,365,70.29509136499867,70.0,132.92747903126678,47,4159.0
